,name,assignment,if,loop,var_definition,emit,guarantee,function_call,rhs_msgsender,owner_is_msgsender,lhs_balance_assign,lhs_balance_owner_assign,is_constructor,visibility,modifier_names,is_called
0,totalSupply,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
1,balanceOf,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
2,transfer,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
3,transferFrom,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
4,approve,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
5,allowance,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
6,transfer,2,1,0,0,0,0,1,0,0,0,0,False,default,[],False
7,transferFrom,3,1,0,0,0,0,1,0,0,0,0,False,default,[],False
8,balanceOf,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
9,approve,1,0,0,0,0,0,1,0,0,0,0,False,default,[],False
10,allowance,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
11,,0,0,0,0,0,0,0,0,0,0,0,False,default,[],False
12,AditusToken,5,0,0,0,0,0,0,0,0,1,1,True,default,[],False
13,approveAndCall,1,1,0,0,0,0,1,0,0,0,0,False,default,[],False
14,mul,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
15,div,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
16,sub,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
17,add,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
18,balanceOf,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
19,transfer,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
20,,1,0,0,0,0,0,0,1,1,0,0,True,public,[],False
21,transferOwnership,1,0,0,0,1,1,0,0,0,0,0,False,public,['onlyOwner'],False
22,,2,0,0,0,0,0,0,0,0,0,0,True,public,[],False
23,tokenBalance,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
24,lock,3,0,0,0,0,2,0,0,0,0,0,False,public,['onlyOwner'],False
25,lockOver,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
26,release,1,0,0,0,1,3,0,0,0,0,0,False,public,['onlyOwner'],False
27,,1,0,0,0,0,0,0,0,0,0,0,True,public,[],False
28,setNS,1,1,0,0,0,0,0,0,0,0,0,False,public,[],False
29,receiveApproval,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
30,EasyTravel,4,0,0,0,0,0,0,0,0,1,1,True,public,[],False
31,_transfer,2,0,0,0,0,4,1,0,0,0,0,False,internal,[],True
32,transfer,0,0,0,0,0,0,1,0,0,0,0,False,public,[],False
33,transferFrom,1,0,0,0,0,1,1,0,0,0,0,False,public,[],False
34,approve,1,0,0,0,0,0,0,0,0,0,0,False,public,[],False
35,approveAndCall,0,1,0,0,0,0,0,0,0,0,0,False,public,[],False
36,burn,2,0,0,0,0,1,1,0,0,0,0,False,public,[],False
37,burnFrom,3,0,0,0,0,2,1,0,0,0,0,False,public,[],False
38,add,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
39,sub,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
40,mul,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
41,div,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
42,min,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
43,max,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
44,madd,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
45,msub,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
46,mmul,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
47,mdiv,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
48,mmin,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
49,mmax,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
50,miadd,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
51,misub,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
52,mimul,0,0,0,0,0,1,0,0,0,0,0,False,internal,[],False
53,midiv,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
54,mimin,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
55,mimax,0,0,0,0,0,0,0,0,0,0,0,False,internal,[],False
